51300045365,bbc,263,212
51300052464,fdd,201,261
51300077995,gdb,148,33
51300079847,bga,137,166
51300158310,bba,95,107
51300159152,cfd,185,70
51300234877,agf,102,66
51300248182,adg,108,229
51300251626,fdd,207,307
51300290476,dfd,252,17
51300317968,eaf,152,62
51300397990,fgb,18,54
51300406563,eee,112,25
51300411249,add,239,208
51300441138,egc,151,53
51300585967,dbb,60,100
51300616847,bec,298,151
51300623208,bec,29,125
51300714738,afa,78,155
51300785597,gbd,108,48
51300799400,gfa,157,48
51300813955,ebc,118,279
51300827305,fbc,142,225
51300831281,acc,203,253
51300854423,gdb,127,31
51300870257,gge,235,160
51300874409,bae,82,30
51300913930,ccg,135,40
51300916054,dab,241,171
51300938297,fcc,150,262
51301060237,ddd,13,255
51301079736,ecf,141,152
51301103727,ada,3,106
51301139762,dgd,103,62
51301157843,gba,297,157
51301241710,dec,161,181
51301254422,gfc,99,153
51301291019,cfe,213,88
51301292292,ege,13,20
51301300064,cfc,141,248
51301334273,acf,217,38
51301387697,ace,133,96
51301389821,dce,52,60
51301397879,edg,289,183
51301399230,gbc,266,129
51301407811,aca,186,8
51301455042,gcd,229,250
51301471780,gad,110,261
51301614883,agc,31,214
51301625009,gfg,213,117
51301658734,dab,89,160
51301660597,ade,248,87
51301711865,gbd,198,53
51301712404,cec,43,292
51301725133,bcd,142,266
51301749911,gbg,43,123
51301783858,bdg,187,111
51301807612,fcg,181,54
51301813668,fgc,72,102
51301824306,cae,124,79
51301862835,fab,179,147
51301881160,cgg,45,17
51301927896,agd,128,149
51301976249,egd,289,253
51301989679,eda,155,42
51301993571,fgb,191,55
51302004214,ace,294,82
51302006189,fgb,297,55
51302040547,dgb,274,16
51302046362,abg,71,34
51302063540,cec,220,294
51302075134,eaa,286,252
51302090327,faa,282,16
51302106358,bdd,12,54
51302109545,bff,109,22
51302131962,fee,230,186
51302136328,fec,256,255
51302139085,dgd,149,52
51302144197,dga,256,74
51302172967,fga,155,57
51302205915,add,3,193
51302220573,fdf,238,25
51302306004,bce,274,148
51302312633,fbf,264,87
51302321449,bgg,229,167
51302328976,fce,229,68
51302358356,eff,278,100
51302415372,ceg,154,283
51302415894,dbc,223,165
51302435675,gfd,238,256
51302480629,bad,41,208
51302488417,fac,54,107
51302504601,bcf,89,283
51302547419,cce,100,108
51302568088,cba,152,214
51302571773,deb,298,162
51302592061,ffd,53,128
51302597382,ced,213,61
51302598945,dbb,242,100
51302614020,bfa,215,288
51302626259,caf,101,24
51302674196,eca,30,152
51302713560,dfg,41,208
51302715150,bde,121,216
51302736503,abf,158,220
51302816542,ega,52,9
51302824606,dfa,265,144
51302825147,fgf,248,26
51302844197,cbg,43,250
51302898423,bcb,169,263
51302917683,ebc,291,304
51302933357,bef,230,131
51302946169,cab,18,31
51302954664,gcc,85,106
51302966118,dfc,99,294
51302970802,bdc,2,63
51302986697,eeg,250,193
51303002694,bca,240,283
51303046574,dbb,218,91
51303054182,cfa,199,197
51303074281,bgc,39,71
51303087942,fbd,121,23
51303095457,dab,31,139
51303115612,gbb,56,105
51303116886,bgg,217,153
51303144861,eae,71,25
51303148010,ace,23,86
51303173595,fgg,206,122
51303201071,aad,103,74
51303222289,fca,101,101
51303228291,adf,55,297
51303323503,ceb,14,206
51303341427,feg,146,41
51303421821,bcd,75,279
51303488365,agc,95,186
51303540754,dcb,190,38
51303548798,cbc,208,191
51303562454,dcc,10,59
51303599934,egc,94,47
51303616153,aee,200,13
51303648815,cbb,289,245
51303654410,bgb,103,189
51303666116,cde,61,150
51303677283,deg,135,164
51303714250,gca,167,180
51303718612,eda,113,35
51303731108,fgf,186,21
51303779125,gee,158,120
51303790820,dcf,72,14
51303797637,fgg,114,98
51303798802,bca,190,314
51303812359,dfd,186,15
51303818658,def,29,254
51303823197,fde,284,203
51303831016,fcf,16,129
51303848224,eff,188,118
51303866925,edg,104,199
51303878079,fge,254,166
51303893862,eag,289,191
51303908654,cea,168,40
51303974718,ddf,64,212
51303984139,dfb,92,165
51303995276,ggc,96,182
51304000290,bbd,82,58
51304031272,ede,125,64
51304039547,cad,34,113
51304049027,fag,60,141
51304056700,bgc,218,69
51304089116,eag,24,194
51304100970,gff,31,127
51304151719,gfd,107,250
51304153423,eac,178,138
51304215322,aba,282,252
51304259327,ffa,136,219
51304271118,cag,153,64
51304278416,cdb,256,77
51304278491,fde,178,162
51304292762,gbc,129,104
51304292995,deb,68,192
51304308860,cgg,166,14
51304323850,bfb,230,287
51304361971,gdf,270,244
51304420469,cff,169,33
51304499630,ada,155,100
51304519505,gab,264,147
51304522576,abe,296,6
51304522812,dag,4,182
51304534926,ccd,105,242
51304615265,gge,229,172
51304629033,cbf,160,25
51304640763,ffg,161,228
51304644756,egb,40,111
51304653813,gcc,8,100
51304686339,eba,254,274
51304710962,ggb,106,96
51304721144,eec,212,238
51304727459,gfc,154,182
51304728289,efd,219,122
51304761757,cac,110,29
51304774654,ecc,199,290
51304805390,fge,109,172
51304838954,gag,249,191
51304849026,dba,178,25
51304868404,ccf,82,279
51304869611,ecd,59,93
51304894097,ebd,258,176
51304899905,egf,186,255
51304917046,ecb,108,180
51304934839,fae,284,121
51304960426,ebb,150,179
51304985182,dfe,238,278
51304993453,gcb,102,134
51305005806,baa,170,82
51305014135,gaa,280,172
51305045011,acf,234,32
51305065525,aae,221,166
51305083437,efc,149,111
51305092501,bfc,116,221
51305094085,ddb,80,9
51305108741,eed,274,105
51305136892,bef,108,149
51305144257,cbc,21,162
51305148017,afe,276,120
51305176337,bdf,203,169
51305187319,ebe,119,7
51305238205,dbc,195,194
51305253179,eeg,268,220
51305253921,edd,114,155
51305278685,cgc,295,245
51305300841,abe,130,6
51305321777,gfb,192,53
51305342139,fbg,244,239
51305361440,fbd,295,23
51305363034,aeg,119,104
51305363652,fde,279,171
51305365783,eca,164,153
51305385186,ecg,157,103
51305405049,ged,228,145
51305416363,afd,82,242
51305448416,dfb,209,165
51305453714,aec,186,46
51305500706,ega,150,8
51305505288,acd,143,284
51305542433,ebe,243,5
51305563260,ggd,147,299
51305567126,bfe,186,98
51305572491,dee,64,289
51305585510,efe,37,143
51305592273,gec,134,194
51305595486,bca,11,367
51305618364,ced,266,72
51305634332,ddg,108,266
51305652026,dfg,17,245
51305653128,dec,222,175
51305687732,cec,54,255
51305721000,dga,149,75
51305724848,bdg,182,114
51305740087,cbd,205,112
51305770846,bgf,236,113
51305797061,dcd,132,222
51305835717,gbf,205,178
51305837964,eef,239,153
51305874651,fbd,286,19
51305888263,gab,258,163
51305938944,geb,99,298
51305956064,dde,263,265
51305957182,dag,107,178
51305959763,aee,33,10
51305961797,efd,167,114
51305973937,bfg,210,74
51306007434,dee,4,309
51306020211,dbg,125,170
51306032852,dca,59,62
51306055400,dcg,257,218
51306056989,gea,94,280
51306061312,fce,8,61
51306091714,caa,297,17
51306092065,ebc,23,307
51306103927,bbg,248,127
51306109604,bea,89,72
51306112563,aef,296,267
51306115047,gab,159,158
51306150626,eae,70,22
51306154674,ead,255,33
51306172389,afc,36,244
51306176940,ccg,78,42
51306177354,faf,265,108
51306182420,fcc,101,233
51306192439,bfd,114,217
51306218130,bgf,9,91
51306271900,ceb,273,218
51306285549,dfb,235,166
51306315777,bbc,89,178
51306338773,eff,25,103
51306346523,aeg,81,92
51306359842,bfd,245,214
51306377405,dda,244,295
51306388579,acc,147,255
51306432782,bcc,80,28
51306463121,bef,113,154
51306471577,bee,29,115
51306480167,fcg,107,44
51306489370,ecd,16,92
51306499281,ffa,137,238
51306512100,ece,277,222
51306516334,dbb,118,83
51306531292,agd,112,125
51306601015,cdf,78,140
51306605039,fga,278,64
51306606111,eee,152,22
51306606139,cgb,122,203
51306624613,bed,202,215
51306653704,agg,99,278
51306655891,dgc,258,9
51306660744,eeb,81,260
51306663313,fab,222,167
51306710598,abg,160,36
51306718457,feg,87,33
51306719780,daa,291,76
51306743356,dbe,89,59
51306748060,cda,1,249
51306765894,ccf,184,262
51306769506,efa,237,288
51306784345,afb,9,291
51306792879,fga,76,66
51306811707,afa,34,137
51306828668,gfc,77,161
51306835046,def,73,203
51306853969,gfd,49,230
51306858341,bcd,135,304
51306861557,gfe,41,115
51306889829,ggg,42,132
51306896232,gde,277,224
51306905198,dgg,185,249
51306910774,dae,34,137
51306920504,acd,80,261
51306934055,cee,203,30
51306958790,fcb,197,192
51306970541,gcg,229,193
51306980690,gcd,272,290
51306980769,cbb,35,271
51307005163,gbf,136,172
51307055307,fff,271,288
51307063104,dfa,287,131
51307067925,fda,133,170
51307078402,bba,98,97
51307095549,egc,131,46
51307103048,dea,265,60
51307118315,abf,34,242
51307126754,daf,65,99
51307146166,fgc,151,86
51307182738,gag,151,154
51307184785,dfd,285,12
51307199143,aea,85,130
51307212229,gba,168,157
51307214035,aaf,170,104
51307253721,fec,182,232
51307271948,aff,222,30
51307285266,ffe,295,221
51307290646,eea,84,5
51307303624,egg,129,289
51307312497,ffd,80,144
51307312889,aaa,23,88
51307336405,agb,75,242
51307338270,fcd,150,101
51307339146,cac,151,25
51307351566,ced,187,64
51307358712,bca,45,418
51307368259,ace,269,73
51307382660,agc,194,150
51307393267,egf,120,211
51307393513,bbg,21,128
51307404413,bge,80,108
51307408839,fgd,259,130
51307412065,bgb,103,209
51307425456,dea,286,58
51307457335,bac,241,265
51307462821,bef,181,141
51307465549,bbf,287,282
51307467508,adc,182,137
51307470691,edf,298,6
51307479404,fbf,288,75
51307482267,eeb,169,293
51307486871,gbd,105,57
51307490254,bfb,202,281
